Test_Min,Patient,AUC
5.0,chb01,0.5
5.0,chb03,0.6655731729542554
5.0,chb05,0.6457790091264667
5.0,chb07,0.8110996563573882
5.0,chb08,0.6095197740112994
5.0,chb16,0.5069247311827957
5.0,chb22,0.6909074074074074
4.0,chb01,0.7224156458199011
4.0,chb03,0.5888256942121111
4.0,chb05,0.7629718469890165
4.0,chb07,0.8695121951219513
4.0,chb08,0.6346572521329803
4.0,chb16,0.5
4.0,chb22,0.6078787878787878
3.0,chb01,0.833933933933934
3.0,chb03,0.6785009861932939
3.0,chb05,0.8406200317965025
3.0,chb07,0.8100331674958541
3.0,chb08,0.7275094696969695
3.0,chb16,0.6768128654970761
3.0,chb22,0.6391898148148147
2.0,chb01,0.7889205444761
2.0,chb03,0.7978531395459295
2.0,chb05,0.8057103856216585
2.0,chb07,0.836094674556213
2.0,chb08,0.7994555672637864
2.0,chb16,0.6261538461538462
2.0,chb22,0.7705128205128204
1.0,chb01,0.7915032679738563
1.0,chb03,0.6378529104217497
1.0,chb05,0.914296597257491
1.0,chb07,0.9092664092664093
1.0,chb08,0.8290845648604269
1.0,chb16,0.6648299319727892
1.0,chb22,0.7802380952380952
