Epoch,Train AUC (Source Patients),Test AUC (Unseen Patient)
1,0.8546761038085607,0.469083820662768
2,0.9115193798449612,0.527017543859649
3,0.9458759689922481,0.4124561403508772
4,0.9627091338051905,0.3987914230019493
5,0.9731688574317492,0.4640155945419103
6,0.9841415571284124,0.5281091617933724
7,0.9797519379844961,0.4477777777777777
8,0.9919986518368722,0.5117543859649123
9,0.9939932591843613,0.5055750487329435
10,0.9917451971688576,0.5791812865497076
11,0.9917243006403774,0.5896296296296296
12,0.9908250758341759,0.529317738791423
13,0.9981968318166499,0.5523781676413255
14,0.9990771823390631,0.6039571150097466
15,0.9977098078867543,0.591598440545809
16,0.9991580721267274,0.6829044834307992
17,0.9991156049882036,0.5946393762183235
18,0.9999393326592517,0.5780506822612085
19,0.9999656218402426,0.6955555555555555
20,0.9999979777553084,0.5952631578947368
